2023-05-13 07:57:04 , udn , 中國航空史上傳奇人物陳文寬，5月9日在美國舊金山以110歲高壽去世。身為美國華僑的他，抗戰前返國擔任民航機師，蔣中正委員長以下的國府軍政要人，都曾是其座上客。他於1951年創立復興，成為中華民國史上第一家由本國人士創立的民營航空公司，但也沒想到，復興航空在2016年無預警歇業，比創辦人還先畫下句點。

聯合報數位版為讀者揭開復興航空在1983年售予國產集團前，鮮為人知的歷史：例如創立目的是為了支援秘密反攻大陸的行動，率先開闢梨山與日月潭的航線，以及華航、遠航興起後，如何在失去航線的情況下，繼續維持公司營利？ , https://udn.com/news/story/7241/7161747?from=udn-ch1_breaknews-1-0-news
2023-05-13 08:08:54 , udn , 還不快逃！愛上「這些星座」就是虐待自己 處女挑剔鬼、第一名絕對怪咖 , https://udn.com/news/story/7268/7152606?from=udn-ch1_breaknews-1-0-news
2023-05-13 08:09:05 , udn , 愛情來的太快就像龍捲風，有時候一不小心陷下去，才發現彼此不適合。有些星座戀愛時很挑剔、很做自己，會讓愛上他們的人超「虐心」。命理網站旺好運分享「「愛上這些星座，根本虐待自己」，快看看有那些星座上榜，談戀愛先睜大眼睛，不然受傷的就是你。 , https://udn.com/news/story/7268/7152606?from=udn-ch1_breaknews-1-0-news
2023-05-13 08:14:55 , udn , 屏南立委／綠不再禮讓、藍不缺席 蘇震清連任路荊棘滿布 , https://udn.com/news/story/6656/7162338?from=udn-ch1_breaknews-1-0-news
2023-05-13 08:15:06 , udn , 「小英總統故鄉」的屏東南區第2選區立委選舉，本屆因民進黨「禮讓」當選的無黨籍蘇震清，去年7月涉SOGO索賄案一審判刑10... , https://udn.com/news/story/6656/7162338?from=udn-ch1_breaknews-1-0-news
2023-05-13 08:15:27 , udn , 網友公認他們佔有慾超強！醋桶星座排行大公開 , https://udn.com/news/story/7268/7161402?from=udn-ch1_breaknews-1-0-news
2023-05-13 08:15:37 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近六個月內「醋桶星座」話題的網路聲量表現，帶您了解網友熱議的醋桶星座排行。 , https://udn.com/news/story/7268/7161402?from=udn-ch1_breaknews-1-0-news
2023-05-13 08:15:58 , udn , 防中捷事故在高雄重演 高市府查興富發11處工地罰70萬 , https://udn.com/news/story/123447/7162336?from=udn-ch1_breaknews-1-0-news
