2023-05-10 06:18:25 , udn , 郭台銘爆「大小姐說不要買」 一圖看BNT採購爭議始末 , https://udn.com/news/story/7314/7154315?from=udn-ch1_breaknews-1-0-news
2023-05-10 06:18:35 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看為何郭台銘為BNT疫苗失眠。 , https://udn.com/news/story/7314/7154315?from=udn-ch1_breaknews-1-0-news
2023-05-10 06:23:53 , udn , 【總編開箱】郭台銘爆「大小姐」擋疫苗 恐捲起不信民進黨千堆雪 , https://udn.com/news/story/123307/7154330?from=udn-ch1_breaknews-1-0-news
2023-05-10 06:26:56 , udn , 屏縣唯一綜合高中屏北高中 科技繁星推薦錄取率42％ , https://udn.com/news/story/6925/7154399?from=udn-ch1_breaknews-1-0-news
2023-05-10 06:27:06 , udn , 屏東縣鹽埔鄉的國立屏北高中是縣內唯一的綜合高中，學校設有商業服務與餐飲服務兩個專門學程，今年科技院校繁星計劃聯合推薦甄選... , https://udn.com/news/story/6925/7154399?from=udn-ch1_breaknews-1-0-news
2023-05-10 06:39:04 , udn , 修選罷法 「公敵」出來鬧 模糊了「公民」之辯 , https://udn.com/news/story/6656/7154316?from=udn-ch1_breaknews-1-0-news
2023-05-10 06:39:15 , udn , 高雄市議員陳致中因洗錢罪將於5月11日入獄，其父前總統陳水扁不滿未來「選罷法」修法禁止「黑金槍毒」參與選舉，形同斷了陳致中政治後路，上周前往總統府等多個中央機關請願。日前獨派色彩濃厚的「新台灣國策智庫」舉行「公職人員選罷法第26條修法爭議」研討會，陳水扁也特別北上到現場「旁聽」，給予有形及無形的壓力。但黨政人士透露，扁家一再出招，影響社會觀感，民進黨反而有機會「解套」。 , https://udn.com/news/story/6656/7154316?from=udn-ch1_breaknews-1-0-news
2023-05-10 06:48:03 , udn , 陪審團認定川普性侵作家卡洛爾 判賠500萬美元 , https://udn.com/news/story/6813/7154417?from=udn-ch1_breaknews-1-0-news
2023-05-10 06:48:14 , udn , 陪審團今天判定，美國前總統川普曾在1990年代性侵專欄作家卡洛爾，後來還藉由否認性侵指控來誹謗她，川普在這起民事訴訟須支... , https://udn.com/news/story/6813/7154417?from=udn-ch1_breaknews-1-0-news
2023-05-10 06:52:05 , udn , 賓州女大學生為何偽造被綁架？浪費納稅人數萬美元 , https://udn.com/news/story/6813/7154430?from=udn-ch1_breaknews-1-0-news
2023-05-10 06:52:15 , udn , 賓州警方表示，23歲的賓州女子克蘿伊·斯坦(Chloe Stein)涉嫌偽造自己的綁架案，以掩蓋其從大學輟學無法畢業的事... , https://udn.com/news/story/6813/7154430?from=udn-ch1_breaknews-1-0-news
2023-05-10 07:27:10 , udn , 美股下跌 通膨報告公布前 企業財測不佳拖累大盤 , https://udn.com/news/story/6811/7154435?from=udn-ch1_breaknews-1-0-news
2023-05-10 07:27:20 , udn , 美國股市周二收低，PayPal和蘋果供應商Skyworks在內多家企業因財測不如預期而下跌，也拖累大盤，同時，美國消費者... , https://udn.com/news/story/6811/7154435?from=udn-ch1_breaknews-1-0-news
2023-05-10 07:30:00 , udn , 一甩被全壘打王臭名 洋基柯爾用改變進壘點找回王牌身手 , https://udn.com/news/story/122629/7153726?from=udn-ch1_breaknews-1-0-news
2023-05-10 07:30:10 , udn , 每個來到紐約的選手都會被放大檢視，遑論簽下破紀錄投手大約的柯爾（Gerrit Cole），身為球迷最多、也最容易被討厭的洋基球員，柯爾先是面對抹油、三振率驟降、被全壘打王等臭名，而在2023年的現在， , https://udn.com/news/story/122629/7153726?from=udn-ch1_breaknews-1-0-news
2023-05-10 07:30:31 , udn , 日職／砸80億被笑花錢請人看球  軟銀為何不見壓倒性戰力？ , https://udn.com/news/story/122629/7153639?from=udn-ch1_breaknews-1-0-news
2023-05-10 07:30:41 , udn , 去年球季戰績與歐力士猛牛並列，卻因為對戰劣勢而痛失洋聯冠軍的福岡軟體銀行鷹隊，為拼重返榮耀，球團於是狂灑銀彈補強。本季開打後，軟銀雖一度以開季五連勝衝上第一，但接下來卻後繼乏力，多數時候都不是待在龍頭 , https://udn.com/news/story/122629/7153639?from=udn-ch1_breaknews-1-0-news
