2023-04-03 08:28:34 , udn , 1955年4月3日，國劇名伶張正芬與雲南籍國大代表庾家麟在台北空軍新生社舉行婚禮，儀式於下午5時20分開始，請由僑委會委員長鄭彥棻證婚，主婚人男方為李彌將軍，女方為張正芬的哥哥張鎮南，介紹人為立法委員邵華與鈕先銘將軍，男儐相楊文清，女儐相錢運華，牽紗男女童為俞寶貝，俞寶妮。... , https://udn.com/news/story/7314/7073429?from=udn-ch1_breaknews-1-0-news
2023-04-03 08:28:54 , udn , 《鬼家人》當冥婚遇上多元成家掀熱議 民俗界：該放下傳統思維了 , https://udn.com/news/story/7266/7049195?from=udn-ch1_breaknews-1-0-news
2023-04-03 08:29:05 , udn , 長輩常說不要隨便撿路上的紅包，以免被冥婚迎娶鬼新娘。冥婚習俗近來也成戲劇取材元素，創票房佳績的國片講述人鬼同志CP（配對，Coupling的簡寫）冥婚，同性冥婚的情節掀熱議。相傳冥婚會為在世男方改運，但民俗學者、殯葬業者都認為，面對當代多元文化，社會要放下冥婚背後潛藏的傳統思維。... , https://udn.com/news/story/7266/7049195?from=udn-ch1_breaknews-1-0-news
2023-04-03 08:29:51 , udn , 【專家之眼】台灣政府丟不丟臉，水這麼多竟然搞成缺水 , https://udn.com/news/story/6656/7074247?from=udn-ch1_breaknews-1-0-news
2023-04-03 08:29:56 , udn , 鋰電池公司火警 消防員以堆高機撬開鐵捲門、布線滅火 , https://udn.com/news/story/7320/7074241?from=udn-ch1_breaknews-1-0-news
2023-04-03 08:30:01 , udn , 相較新加坡公務員，台灣公務員很幸福（參見拙文：駭人聽聞的新加坡公務員薪事）。但是，台灣政務官的表現讓人絕望：整天忙著鬥爭... , https://udn.com/news/story/6656/7074247?from=udn-ch1_breaknews-1-0-news
2023-04-03 08:30:57 , udn , 人妻遭14刀砍死 寵物鸚鵡目擊驚吐2字助警破案 兇手下場極慘 , https://udn.com/news/story/6810/7074239?from=udn-ch1_breaknews-1-0-news
2023-04-03 08:45:02 , udn , 閨密好友相約 到花蓮共渡幸福的西班牙式建築風格之粉紅靚旅 , https://udn.com/news/story/7328/7074251?from=udn-ch1_breaknews-1-0-news
2023-04-03 08:45:13 , udn , 與妳一起搭乘粉紅電動接泊車、粉紅遊艇，入住西班牙粉紅主題別墅享貼心服務，細品下午茶、精緻中式美饌，專屬花東假期洋溢Pink幸福感！ , https://udn.com/news/story/7328/7074251?from=udn-ch1_breaknews-1-0-news
2023-04-03 08:45:33 , udn , 影／石虎躲樹上？赤膊男逼牠下樹 放任犬群獵殺 , https://udn.com/news/story/7320/7074248?from=udn-ch1_breaknews-1-0-news
2023-04-03 08:45:44 , udn , 南投有民眾錄下，1隻貓科動物疑在樹上躲避犬群，一名男子發現後，竟拿竹竿將牠從樹上趕下來，犬群隨之追捕圍攻牠。該影片被PO... , https://udn.com/news/story/7320/7074248?from=udn-ch1_breaknews-1-0-news
2023-04-03 08:54:42 , udn , 不斷更新／清明連假第3天北返潮 國5恐塞14小時至深夜 , https://udn.com/news/story/7266/7074223?from=udn-ch1_breaknews-1-0-news
2023-04-03 08:59:50 , udn , 熟睡時蘋果iPhone被莫名「拿起」使用 網全寒毛直豎：超詭異 , https://udn.com/news/story/122659/7072904?from=udn-ch1_breaknews-1-0-news
2023-04-03 09:00:01 , udn , 一名網友分享自己起床後，發現手機竟在半夜時被「拿起」，並且在睡眠過程中共使用了3次，讓人感到相當詭異，但也有網友認為是原PO... , https://udn.com/news/story/122659/7072904?from=udn-ch1_breaknews-1-0-news
2023-04-03 09:00:21 , udn , 姓「蟻」新手爸指兒子改名難 網民幫取這2字獲激讚好名：太有才 , https://udn.com/news/story/7335/7074257?from=udn-ch1_breaknews-1-0-news
2023-04-03 09:00:32 , udn , 幫BB、小孩改名本已是難題，如果是特別姓氏，更是難上加難！有大陸姓「蟻」的新手爸爸於網上發文，指近日為幫兒子改名感到煩惱，於是向網民求救。網民看到「蟻」姓後熱論紛紛，不少人笑言叫「蟻人」、「蟻王」、「蟻大利（普通話讀音，近似意大利）」等 , https://udn.com/news/story/7335/7074257?from=udn-ch1_breaknews-1-0-news
2023-04-03 09:03:20 , udn , 姓「蟻」新手爸指兒子取名難 網民幫取這2字獲激讚好名：太有才 , https://udn.com/news/story/7335/7074257?from=udn-ch1_breaknews-1-0-news
2023-04-03 09:03:51 , udn , Netflix將減少整體電影發行量 影片將走「精品化」路線 , https://udn.com/news/story/7088/7073813?from=udn-ch1_breaknews-1-0-news
2023-04-03 09:04:01 , udn , 彭博新聞報導指稱，Netflix目前正在著手重整其電影部門，其中包含將降低整體電影發行量，藉此將資源聚焦在製作更精緻的電影作品，同時也將整併原本以中、低預算製作電影的部門合併，因此也將伴隨產生小規模人員精簡。 , https://udn.com/news/story/7088/7073813?from=udn-ch1_breaknews-1-0-news
2023-04-03 09:12:01 , udn , 苗栗新東大橋再點燈 19日起每晚3小時 地方：有回家的感覺 , https://udn.com/news/story/7324/7074265?from=udn-ch1_breaknews-1-0-news
2023-04-03 09:12:11 , udn , 苗栗縣景觀地標新東大橋暌違3年多，客委會、公路總局及縣府投入3000多萬元夜間亮化工程，將於4月19日重新點燈，暫定每天... , https://udn.com/news/story/7324/7074265?from=udn-ch1_breaknews-1-0-news
2023-04-03 09:15:00 , udn , 歐盟官員籲停止對中國天真 法媒稱「謊言帝國」 , https://udn.com/news/story/6809/7074258?from=udn-ch1_breaknews-1-0-news
2023-04-03 09:15:11 , udn , 法國總統馬克宏與歐洲聯盟執行委員會主席范德賴恩將造訪中國、會晤習近平。歐盟官員布勒東在受訪時呼籲，歐洲須停止對中國天真；... , https://udn.com/news/story/6809/7074258?from=udn-ch1_breaknews-1-0-news
2023-04-03 09:18:02 , udn , 繼東環段..蔣萬安將加速推動民生汐止線 下半年送綜合規畫 , https://udn.com/news/story/7323/7074269?from=udn-ch1_breaknews-1-0-news
2023-04-03 09:18:12 , udn , 台北市長蔣萬安上任滿百日，繼捷運東環段已由行政院核定，將於兩年內動工，民眾盼了幾十年的民生汐止線，儘管中央已核定汐東線(... , https://udn.com/news/story/7323/7074269?from=udn-ch1_breaknews-1-0-news
2023-04-03 09:21:00 , udn , 粗心女忘了車內老母親 警員及時施救讓婦人免熱昏 , https://udn.com/news/story/7320/7074276?from=udn-ch1_breaknews-1-0-news
2023-04-03 09:21:11 , udn , 嘉義市有名老婦人被發現反鎖在車內，時逢中午天氣炎熱擔心發生意外，趕緊報案，警方看到車內婦人疑似身體不適，車子又是上鎖狀態... , https://udn.com/news/story/7320/7074276?from=udn-ch1_breaknews-1-0-news
2023-04-03 09:21:31 , udn , 今天晴朗炎熱 鄭明典曝已達成臭氧汙染3條件 , https://udn.com/news/story/7266/7074274?from=udn-ch1_breaknews-1-0-news
2023-04-03 09:21:41 , udn , 中央氣象局長鄭明典在臉書表示，今天西半部會熱。 , https://udn.com/news/story/7266/7074274?from=udn-ch1_breaknews-1-0-news
2023-04-03 09:27:03 , udn , 炎熱好天氣持續到清明節 短期中南部水情仍不樂觀 , https://udn.com/news/story/7266/7074283?from=udn-ch1_breaknews-1-0-news
2023-04-03 09:27:13 , udn , 今天是清明連假的第三天。天氣風險公司天氣分析師李至晟說，今天東北風進一步減弱，轉為東到東南風，迎風面的降雨更加減少，氣溫... , https://udn.com/news/story/7266/7074283?from=udn-ch1_breaknews-1-0-news
2023-04-03 09:27:34 , udn , 唐綺陽星座運勢週報：巨蟹注意理財與開銷 牡羊感情點出問題 , https://udn.com/news/story/7268/7074275?from=udn-ch1_breaknews-1-0-news
2023-04-03 09:27:44 , udn , 水星進金牛，是四月重要的星象，影響長達兩個月的時間，讓我們思考時間、理財、健康以及跟經營有關的問題。太陽趨近木星在牡羊星座，火星也就位開創星座，啟動籌備已久的計畫，承受不舒服的壓力，要有破釜沉舟、面向恐懼而行的勇氣，能夠展開新的契機。水火度數趨近成相位，小心遇到冒失鬼，性急的人要留意，避免著急而使事情破局。 , https://udn.com/news/story/7268/7074275?from=udn-ch1_breaknews-1-0-news
2023-04-03 09:28:05 , udn , 紐時：蔡總統務實領導如走鋼絲 台美合作創新紀元 , https://udn.com/news/story/6811/7074271?from=udn-ch1_breaknews-1-0-news
2023-04-03 09:28:15 , udn , 紐約時報今天報導，總統蔡英文任內在美中兩大民主和威權強國之間，拓展台灣對外關係，猶如走在鋼絲上。在中國軍事威脅升高下，致... , https://udn.com/news/story/6811/7074271?from=udn-ch1_breaknews-1-0-news
2023-04-03 09:28:36 , udn , MLB／大谷、神鱒2轟炸飛881呎 運動家教頭無奈：多遠都沒差 , https://udn.com/news/story/6999/7074279?from=udn-ch1_breaknews-1-0-news
2023-04-03 09:28:46 , udn , 天使今天以6：0擊敗運動家隊，楚奧特（Mike Trout）、大谷翔平一前一後開張本季全壘打數，第5局連兩打席開轟，天使... , https://udn.com/news/story/6999/7074279?from=udn-ch1_breaknews-1-0-news
