2023-05-02 07:30:04 , udn , 中央大學大氣科學系兼任副教授吳德榮在「三立準氣象．老大洩天機」專欄表示，今日各地多雲時晴，山區午後及東半部仍有零星飄雨的... , https://udn.com/news/story/7266/7135729?from=udn-ch1_breaknews-1-0-news
2023-05-02 07:30:24 , udn , 日職／遲來的正義 昔日第一指名田中證明自己不是大誤 , https://udn.com/news/story/122629/7135110?from=udn-ch1_breaknews-1-0-news
2023-05-02 07:30:35 , udn , 搬到新主場似乎對火腿的戰績沒有帶來慶祝行情，火腿本季已進行25場比賽，戰績僅有9勝16敗，以3成60的勝率持續在洋聯墊底，但這樣的火腿，仍有幾項數據於6隊中排在前段班，如得分、盜壘還有後援投手的防禦率 , https://udn.com/news/story/122629/7135110?from=udn-ch1_breaknews-1-0-news
2023-05-02 07:30:56 , udn , 湖人首輪打趴灰熊  關鍵在防守煥然一新 , https://udn.com/news/story/122629/7135198?from=udn-ch1_breaknews-1-0-news
2023-05-02 07:31:06 , udn , 看完洛杉磯湖人隊季後賽125：85 、以4勝2敗淘汰曼菲斯灰熊隊晉級後，我很難想像這是一支開季五連敗的隊伍。你記得嗎？去年10月18日起，湖人隊等到10月30日才摘第一勝，若加上熱身賽是七連敗，進入1 , https://udn.com/news/story/122629/7135198?from=udn-ch1_breaknews-1-0-news
2023-05-02 07:31:27 , udn , 戴維斯想6戰解決勇士 雖是太樂觀但湖人終究是贏家 , https://udn.com/news/story/122629/7135260?from=udn-ch1_breaknews-1-0-news
2023-05-02 07:31:37 , udn , NBA「湖勇大戰」西區季後賽第二輪提前上檔，詹姆斯決戰柯瑞，全世界都在瘋狂。湖人前鋒戴維斯賽前做出預測，戴維斯非常自信認為湖人系列賽能以4：2晉級，打進西區決賽。

柯瑞和詹姆斯是過去12年NBA , https://udn.com/news/story/122629/7135260?from=udn-ch1_breaknews-1-0-news
2023-05-02 07:57:12 , udn , 二階甄選教戰／台大牙醫曾考雕皮卡丘 醫牙面試有技巧「未必要政治正確」 , https://udn.com/news/story/6928/7134834?from=udn-ch1_breaknews-1-0-news
2023-05-02 07:57:23 , udn , 頂尖學生競相角逐醫學、牙醫系，二階甄選形同「學霸爭奪戰」。第一階段出爐後，許多學生會由學校或補習班安排模擬面試，或到畫室加強術科。醫牙相關科系教授透露，面試時未必要答的「政治正確」，而是另有關鍵。... , https://udn.com/news/story/6928/7134834?from=udn-ch1_breaknews-1-0-news
2023-05-02 07:57:43 , udn , 圓山飯店F-86戰機甩塗裝錯誤汙名 靠退休老士官長的不斷「煩人」 , https://udn.com/news/story/10930/7132999?from=udn-ch1_breaknews-1-0-news
2023-05-02 07:57:54 , udn , 2018年8月，北市府在圓山飯店下方的北安公園，興建八二三砲戰紀念碑，並向國防部索取F-86戰鬥機、155公釐加農砲、40公釐機砲等退役武器，命名為「八二三砲戰紀念公園」。這架序號6134的F-86F軍刀式戰鬥機，是如今台北市唯一公開陳列的軍機。2019年8月23日，市長柯文哲、鴻海創辦人郭台銘、立法院前院長王金平，特意共同出席八二三紀念活動，並在軍刀機前合影，讓外界充滿政治聯想。

然而軍刀機當初展出時，就被批評塗裝錯誤，幾年下來更增加日曬雨淋的痕跡。近日北市府對其進行重新整修噴漆工程，難得的是，此次市府與空軍特別邀請熟悉軍機塗裝的老兵擔任指導，依據舊照片考據，將飛機恢復成當年服役時期的模樣。 , https://udn.com/news/story/10930/7132999?from=udn-ch1_breaknews-1-0-news
2023-05-02 08:00:10 , udn , 【專家之眼】馬英九中流砥柱 , https://udn.com/news/story/6656/7135740?from=udn-ch1_breaknews-1-0-news
2023-05-02 08:00:20 , udn , 最近前總統馬英九批評蔡英文總統「中華民國和中華人民共和國互不隸屬」違憲，確實擲地有聲、四平八穩，因為這就是中華民國憲法關... , https://udn.com/news/story/6656/7135740?from=udn-ch1_breaknews-1-0-news
2023-05-02 08:15:11 , udn , 生理期來身心都不適？「這些」食物協助改善經期問題！ , https://udn.com/news/story/7266/7130442?from=udn-ch1_breaknews-1-0-news
2023-05-02 08:15:21 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近三個月內「經期食物」話題的網路聲量表現，帶您了解網友熱議的經期食物排行。 , https://udn.com/news/story/7266/7130442?from=udn-ch1_breaknews-1-0-news
2023-05-02 08:15:42 , udn , 天氣風險：今起白天暖如夏 至少持續到周五 , https://udn.com/news/story/7266/7135746?from=udn-ch1_breaknews-1-0-news
2023-05-02 08:15:52 , udn , 暖如夏的天氣來了，天氣風險公司天氣分析師歐宗學指出，今東風環境白天暖熱早晚涼，東部及午後西部山區局部短暫雨。 , https://udn.com/news/story/7266/7135746?from=udn-ch1_breaknews-1-0-news
2023-05-02 08:18:13 , udn , 十二星座小氣指數大公開！金牛座被批鐵公雞 射手居然也上榜？ , https://udn.com/news/story/7268/7130454?from=udn-ch1_breaknews-1-0-news
2023-05-02 08:18:23 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近三個月年內「小氣星座」話題的網路聲量表現，帶您了解網友熱議的六大小氣星座排行。 , https://udn.com/news/story/7268/7130454?from=udn-ch1_breaknews-1-0-news
2023-05-02 08:18:44 , udn , 吸空氣也會胖？網議五大「代謝症候群引發原因」一次看！ , https://udn.com/news/story/7266/7130420?from=udn-ch1_breaknews-1-0-news
2023-05-02 08:18:54 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近一年內「代謝症候群引發原因」話題的網路聲量表現，帶您了解網友熱議的代謝症候群引發原因。 , https://udn.com/news/story/7266/7130420?from=udn-ch1_breaknews-1-0-news
2023-05-02 08:21:11 , udn , 環保從生活中做起！盤點網熱議6大環保好習慣 , https://udn.com/news/story/7266/7130426?from=udn-ch1_breaknews-1-0-news
2023-05-02 08:21:21 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近三個月內「環保好習慣」相關話題的網路聲量表現，帶您了解網友熱議的六大環保好習慣。 , https://udn.com/news/story/7266/7130426?from=udn-ch1_breaknews-1-0-news
2023-05-02 08:21:42 , udn , 玉山金（2884）股利縮水…公布時間有「貓膩」？ 他：偏就選在5月3號前夕 , https://udn.com/news/story/7252/7135741?from=udn-ch1_breaknews-1-0-news
2023-05-02 08:21:52 , udn , 玉山金配息本來就很少了，竟然還縮水了；現金殖利率從0.8％變成0.76％。 , https://udn.com/news/story/7252/7135741?from=udn-ch1_breaknews-1-0-news
2023-05-02 08:24:13 , udn , 每個人都有追求變美的權利！盤點網熱議「6大醫美項目」 , https://udn.com/news/story/7266/7130437?from=udn-ch1_breaknews-1-0-news
2023-05-02 08:24:24 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤一年內「醫美項目排行」相關話題的網路聲量，帶您了解網友熱議的6大醫美項目有哪些。 , https://udn.com/news/story/7266/7130437?from=udn-ch1_breaknews-1-0-news
2023-05-02 08:24:45 , udn , 腹瀉如何忌口？盤點網熱議「6大腹瀉飲食建議」 , https://udn.com/news/story/7266/7130399?from=udn-ch1_breaknews-1-0-news
2023-05-02 08:24:55 , udn , 《Social Lab社群實驗室》本次透過《OpView社群口碑資料庫》追蹤近三個月內「腹瀉飲食建議」相關話題的網路聲量，帶您了解網友熱議的6大腹瀉飲食建議。 , https://udn.com/news/story/7266/7130399?from=udn-ch1_breaknews-1-0-news
2023-05-02 08:27:23 , udn , A肝莓果風暴 立委要求消保會協助民眾集體求償 , https://udn.com/news/story/7266/7135750?from=udn-ch1_breaknews-1-0-news
2023-05-02 08:27:33 , udn , 好市多自有品牌科克蘭綜合莓，經查驗混有A型肝炎病毒，引發爭議。朝野立委質疑，食藥署未能於接獲通知後預防性下架，也未對企業... , https://udn.com/news/story/7266/7135750?from=udn-ch1_breaknews-1-0-news
2023-05-02 08:27:54 , udn , 照片看歷史／1954年台灣地方自治新頁 縣市長省議員選舉 , https://udn.com/news/story/7314/7134617?from=udn-ch1_breaknews-1-0-news
2023-05-02 08:28:04 , udn , 1954年5月2日，台灣省第二屆臨時省議會議員暨縣市長選舉舉行第二次投票，273萬6千餘位選民分別在2660個投票所同時舉行投票，15縣市應選出之省議員共39人，縣市長有13人（台中、苗栗兩縣縣長因任期未滿，不予選舉）。第二屆臨時議會議員總額共計57人，全省已屆滿應重新民選之縣市長共為19人，均已全部選出，至此本省實施了三年的地方自治又邁進新的里程。 , https://udn.com/news/story/7314/7134617?from=udn-ch1_breaknews-1-0-news
2023-05-02 08:28:25 , udn , 真實人生／日本最可怕黑道「兄弟隊」 投手是殺手 山口組大哥率隊拚冠 , https://udn.com/news/story/6812/7134484?from=udn-ch1_breaknews-1-0-news
2023-05-02 08:28:36 , udn , 表面上看，竜友會是日本壘球界最令人聞風喪膽的球隊，倒不是因為他們打球多厲害，而是隊員多半有黑道背景，蹲苦窯的時間加起來將近一世紀。球隊教練當過黑幫高層，隊上一位替補投手還曾被派去殺他。他們組隊打球，主要是為了表明改過自新。若證明已洗心革面，教練可能會幫你引薦工作與棲身之所。然而，現實並非電視劇，與過去一刀兩斷談何容易？有人認為，這支更生人互助會性質的球隊，私下仍遊走在灰色地帶，做著一些不為人知的勾當… , https://udn.com/news/story/6812/7134484?from=udn-ch1_breaknews-1-0-news
