2023-03-06 07:28:57 , udn , 基隆捷運2日通過第一階段環評，內政部長林右昌在臉書開心報喜，隔兩天，基隆市長謝國樑卻開直播吐苦水，指基隆捷運費用從425億爆增到697億，基隆負擔翻漲三倍，憂心會拖垮財政，前後任市長的一喜一憂，形成強烈對比，熟悉工程人士指出，基隆捷運費用還沒到頂，可能衝到上千億元，林右昌的「政績」謝國梁要硬吞嗎？此刻基隆捷運爭議再起，傳出和侯友宜選總統呼聲高有關，更添政治味。 , https://udn.com/news/story/6656/7010707?from=udn-ch1_breaknews-1-0-news
2023-03-06 07:29:17 , udn , 國際科技大廠狂裁員 台積電、聯發科為何能逆勢徵才？ , https://udn.com/news/story/7240/7009907?from=udn-ch1_breaknews-1-0-news
2023-03-06 07:29:28 , udn , 半導體產業逆風下，國際科技大廠陸續裁員，有的甚至一砍就是上萬人。不過，台灣半導體指標廠台積電、聯發科、世界先進，和國際半導體設備大廠台灣應材、荷商艾司摩爾及德商默克集團，都參加今年春季校園徵才列車，首場徵才活動上周六在台大起跑。為何台廠可以逆勢徵才？

面對大環境景氣不佳，台灣美光因應總公司提出的人員精簡計畫，在農曆春節後展開裁員行動，雖然台灣裁員幅度約6%，遠低於總部訂出的15％上限。這也透露 ，台灣美光在台灣半導體人才短缺的環境中，仍堅持要保有較多的人力資源，以因應隨時可能的景氣復甦；DRAM大廠南亞科和華邦電，也因市況急凍，人才召募踩煞車，但公司強調不裁員，只是遇缺不補。 , https://udn.com/news/story/7240/7009907?from=udn-ch1_breaknews-1-0-news
2023-03-06 07:38:30 , udn , 電動車火燒陰影 未來電池研發 車廠、新創「就賭這一把」 , https://udn.com/news/story/7238/7009752?from=udn-ch1_breaknews-1-0-news
2023-03-06 07:38:41 , udn , 2022年6月，美國加州一輛停在廢車場的特斯拉突然自燃。9月，美國通用汽車召修14.2萬輛電動車Chevrolet Bolt更換新電池，因為舊車有起火風險。隔月，知名藝人林志穎的特斯拉Model X自撞火燒車，台灣淡水客運電動公車充電時也不明原因自燃，還延燒至鄰近另輛電動公車，兩車足足燒了一個多小時。 , https://udn.com/news/story/7238/7009752?from=udn-ch1_breaknews-1-0-news
2023-03-06 07:53:32 , udn , 今日夜溫差近20度 吳德榮曝本周變天降溫時間點 , https://udn.com/news/story/7266/7011326?from=udn-ch1_breaknews-1-0-news
2023-03-06 07:53:42 , udn , 中央大學大氣科學系兼任副教授吳德榮在「三立準氣象．老大洩天機」專欄表示，今(6日)晨觀測資料顯示，受大陸高壓東移影響，各... , https://udn.com/news/story/7266/7011326?from=udn-ch1_breaknews-1-0-news
2023-03-06 07:59:22 , udn , 1年義務役細節曝光 射擊數大增 刺針飛彈恐操作不到 , https://udn.com/news/story/10930/7010808?from=udn-ch1_breaknews-1-0-news
