2023-02-08 08:03:35 , udn , 近日包括台大醫學院等博班生在網路上自曝遇到「慣老闆」的經歷，博士班薪資只有8千元，除了自己課業做研究，還要幫指導教授審論文，甚至被要求延後資格考，幫忙寫計畫。假日加班是常態，「半夜叫你起來做事的也有」，沒達到進度，直接停止一整年的薪水，或是威脅要「換作者」，導致不少博班生壓力大到要心理諮商；但也有頂大教授說，「慣教授」雖然可能有，但是連基本辦事能力和工作態度都有問題的「慣學生」也非常多。 , https://udn.com/news/story/6928/6956098?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:33:20 , udn , 安謀上季營收亮麗成長28% CEO：取得新市場是關鍵 , https://udn.com/news/story/6809/6957219?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:33:20 , udn , 英國晶片設計業者安謀（Arm）執行長哈斯（Rene Haas）表示，公司能夠持續成長，原因在於產品在新市場取得進展。 , https://udn.com/news/story/6809/6957219?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:36:18 , udn , 2/8【早晨財經速解讀】鮑爾演說鴿中帶鷹?台1月出口再減兩成 波音裁員2000人 , https://udn.com/news/story/7251/6957222?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:36:18 , udn , 美國聯準會（Fed）主席鮑爾6日在華府經濟俱樂部發表演說時表示，由於最近數據（元月就業報告）顯示勞動市場仍然非常緊俏，因此有必要加碼升息（additional interest-rate increases），且降低通膨仍要花「相當長的期間」。 , https://udn.com/news/story/7251/6957222?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:39:19 , udn , 景氣連續兩藍燈…該All In了？專家分享「這兩招」：進可攻退可守 , https://udn.com/news/story/12806/6957211?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:39:19 , udn , 根據歷史的4次經驗來看，在連續藍燈（低迷）後，燈號往上轉好以後，股市也都會跟著回升，所以說藍燈是非常好的佈局時候。 , https://udn.com/news/story/12806/6957211?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:39:20 , udn , 美眾院軍委主席憂中挑戰 前國防官員籲揚棄戰略模糊 , https://udn.com/news/story/10930/6957141?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:39:20 , udn , 美眾議院軍委會主席羅傑斯擔憂，若不阻止北京，中國將是美國未來30年最具毀滅性的挑戰威脅。前美太平洋司令部司令哈里斯也建議... , https://udn.com/news/story/10930/6957141?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:42:19 , udn , 凱基證券以客戶為中心 國內外獲獎數創新高 , https://udn.com/news/story/7239/6957225?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:42:19 , udn , 凱基證券以重視風險、穩健前行的理念打造「以客戶為中心」的服務，專業團隊多次榮獲國內外金融媒體、主管機關及外資法人肯定，2... , https://udn.com/news/story/7239/6957225?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:51:19 , udn , 鮑爾談話後美股收高 法人：台股觀察電子權值股表現 , https://udn.com/news/story/7251/6957231?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:51:19 , udn , 美國聯準會主席鮑爾台灣時間今天凌晨談話，市場解讀未加深升息疑慮，美股全面收高。法人表示，台股7日多空觀望，在美股收高下，... , https://udn.com/news/story/7251/6957231?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:51:19 , udn , 美中氣球風波未息 共和黨重量級眾議員仍將率團訪台 , https://udn.com/news/story/123298/6957228?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:51:19 , udn , 儘管美中關係因疑似間諜氣球事件更加緊張，眾議院外交委員會主席麥考爾（Michael McCaul）表示，他仍將按計畫於今... , https://udn.com/news/story/123298/6957228?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:54:19 , udn , 曾挽救無數生命！墨西哥派出「16隻搜救犬」遠赴土耳其救災 , https://udn.com/news/story/6809/6957241?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:54:19 , udn , 土耳其6日遭規模7.8強震襲擊，隨後又出現規模6.7和多次規模超過4.8的餘震，導致大量房屋倒塌和民眾死亡，世界各國也伸... , https://udn.com/news/story/6809/6957241?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:54:19 , udn , 李克強召開會議聽取各界意見 《狂飆》主角張譯獲邀發言 , https://udn.com/news/story/7333/6957238?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:54:19 , udn , 大陸國務院總理李克強6日主持召開各界人士、基層代表座談會，聽取對政府工作報告徵求意見稿的意見建議。央視新聞聯播畫面顯示，... , https://udn.com/news/story/7333/6957238?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:54:19 , udn , 搶當台積電等晶片製造大廠的鄰居 設備商是為了這原因 , https://udn.com/news/story/6811/6957230?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:54:19 , udn , 半導體製造愈來愈精密，促使設備供應商與晶片製造業者的合作日益密切，一些設備商正砸大錢在更靠近客戶的地方設立據點，獲取競爭... , https://udn.com/news/story/6811/6957230?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:57:19 , udn , 洪秀柱：星雲常籲兩岸和平 盼陸委會專案讓陸信眾弔唁 , https://udn.com/news/story/6656/6957247?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:57:19 , udn , 星雲大師圓寂，國民黨前主席洪秀柱表示，生前星雲大師常在兩岸間呼籲和平，因此在大陸地區也有許多信眾，盼陸委會能夠給予專案協... , https://udn.com/news/story/6656/6957247?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:57:19 , udn , 擁4關鍵 電動車產業受矚目 , https://udn.com/news/story/7240/6957237?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:57:19 , udn , 電動車，無疑是人類未來最具前瞻性與未來性的重點產業之一，也因電動車的發展迅速，讓它成為近百年來地表最大的移動新革命！ , https://udn.com/news/story/7240/6957237?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:57:19 , udn , 山櫻花盛開  嘉市社大前校長推薦這處秘密森林優質景色 , https://udn.com/news/story/7326/6957243?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:57:19 , udn , 山櫻花盛開，想避開遊客擁擠賞花景點，嘉義市文化局前局長、社大前校長賴萬鎮，推薦位於中埔鄉石硦林場桶頭山麓的白石馬露營區，... , https://udn.com/news/story/7326/6957243?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:57:19 , udn , 富邦期貨：觀察週選未平倉已減輕結算前壓力 , https://udn.com/news/story/7251/6957240?from=udn-ch1_breaknews-1-0-news
2023-02-08 08:57:19 , udn , 聯準會主席鮑爾發表談話強調就業市場強勁或需進一步升息，但美股在談話結束後由近期跌深的科技股與半導體類股發起反攻，終場四大... , https://udn.com/news/story/7251/6957240?from=udn-ch1_breaknews-1-0-news
