2023-03-17 07:56:56 , udn , 繼矽谷銀行倒閉風波之後，瑞士信貸傳出大股東拒絕再注資，導致市場對金融股恐慌風波再度延燒，導致16日台股金融指數下挫22.67點、跌幅1.51%，臺企銀（2834）下跌8.57%至12.8元。PTT網友直呼「外資太狠，第一次看棄嬰這樣跌的」，還有人附和「配那0.1塊，根本小氣銀」。 , https://udn.com/news/story/7252/7036222?from=udn-ch1_breaknews-1-0-news
2023-03-17 07:57:16 , udn , 熟齡離婚／手足變夫妻 父親在門外逼同房 你不知道的童養媳婚姻故事 , https://udn.com/news/story/7266/7036019?from=udn-ch1_breaknews-1-0-news
2023-03-17 07:57:26 , udn , 熟齡離婚比率日漸升高，反映現代人對婚姻看法的改變，勇敢直視內心，不再為了維持關係而隱忍自己。聯合報退休力系列報導去年推出「台灣版一個人的圖鑑」，便是提醒大家，我們需要社會連結，但自己與自己相處也是必須學會的功課，包括婚姻關係。

然而，熟齡離婚或許並沒有我們想像中新潮。我們跟著中研院學者將目光投注到不久之前，過去還有童養媳、入贅婚的年代，發現即使是因為大環境不得已，主要考量經濟因素而結合的婚姻，也是有可能走向離婚的。這背後究竟有什麼現代人不太了解的故事呢？ , https://udn.com/news/story/7266/7036019?from=udn-ch1_breaknews-1-0-news
2023-03-17 08:05:47 , udn , 【專家之眼】一波未平一波再起 美國的銀行破產風潮 , https://udn.com/news/story/6656/7037374?from=udn-ch1_breaknews-1-0-news
2023-03-17 08:05:57 , udn , 此前，美國砂谷地區矽谷銀行SVB（Silicon Valley Bank）面對擠兌傳聞的推波助瀾，甫宣布以18億美元的折... , https://udn.com/news/story/6656/7037374?from=udn-ch1_breaknews-1-0-news
2023-03-17 08:21:07 , udn , 台企銀（2834）下跌8.57% PTT笑「配太少」：變小氣銀 , https://udn.com/news/story/7252/7036222?from=udn-ch1_breaknews-1-0-news
2023-03-17 08:23:35 , udn , 確診者在家突中風 消防、屏基搶救免開腦取出阻塞血塊 , https://udn.com/news/story/7266/7037393?from=udn-ch1_breaknews-1-0-news
2023-03-17 08:23:46 , udn , 66歲謝姓男子確診在家突然腦中風，經由救護車緊急送醫，辨識疑中風症狀，經屏東基督教醫院取出阻塞腦血管的血塊後，原本無法動... , https://udn.com/news/story/7266/7037393?from=udn-ch1_breaknews-1-0-news
