2023-04-22 08:33:47 , udn , 林開郡洋樓位基隆市中心，有80多年的歷史，古厝為仿羅馬式洋樓，充滿神秘的色彩，靈異傳說傳了好幾十年，還被謠傳「全台十大鬼... , https://udn.com/news/story/7328/7115579?from=udn-ch1_breaknews-1-0-news
2023-04-22 08:34:08 , udn , 張國煒首度以星宇名義和長榮合作 握手言和從吃開始？ , https://udn.com/news/story/7266/7109157?from=udn-ch1_breaknews-1-0-news
2023-04-22 08:34:18 , udn , 星宇航空即將在4月26日開航首條長程航線-美國洛杉磯，一向主打高端優質服務的星宇航空，將在長程線機上的餐飲推出令旅客驚豔的餐點內容，包括由米其林星級主廚設計的料理，並採用來自在地的經典食材與享譽國際的餐酒品牌等。據掌握，星宇本次美國線的航餐是由長榮空廚所負責，這也是星宇航空董事長張國煒，在2016年被迫離開長榮集團事業體後，首度以星宇的名義和長榮相關企業的合作案。航餐表現會如何？不僅耐人尋味，也讓旅客相當期待。 , https://udn.com/news/story/7266/7109157?from=udn-ch1_breaknews-1-0-news
2023-04-22 08:34:39 , udn , 2024立委戰／總統人選未定焦慮爆棚 國民黨估雙北席次轉保守 , https://udn.com/news/story/123475/7114810?from=udn-ch1_breaknews-1-0-news
2023-04-22 08:34:49 , udn , 民進黨台北市第二選區初選結果，現任立委何志偉輸給市議員王世堅，牽動國民黨布局。國民黨台北市黨部主委黃呂錦茹表示，對手換成王世堅後，打亂了她的布局，增加選戰困難度；不過，除了第二選區，黃呂錦茹有信心可以拿回第一選區。在新北市方面，地方人士上個月原本評估最好可以在12個選區中拿下9席，不過總統參選人未定，基層焦慮，隨著登記的立委名單逐漸浮現，地方人士修正原本較樂觀的評估，減至6到7席。 , https://udn.com/news/story/123475/7114810?from=udn-ch1_breaknews-1-0-news
2023-04-22 08:35:10 , udn , 職人引路／汽車業正臨絕佳機會 保時捷經銷CEO：拋開學歷思維 你該有2能力 , https://udn.com/news/story/6885/7114268?from=udn-ch1_breaknews-1-0-news
2023-04-22 08:35:21 , udn , 保時捷代理商「尚騰汽車集團」執行長吳睿弘，念了3間大學，橫跨海洋、印刷、營養三個截然不同領域，雖然學習路顛簸，但他憑著企圖心和熱情，進入最愛的汽車產業，從助理工程師當到總經理。吳睿弘說，學歷不能代表成就，如果沒找到一份自己有熱忱的工作，取得成就的機率微乎其微，他也提醒年輕學子拋開「考不上台大醫科才念森林系」或是「成績頂尖就要唸台大醫科」的老觀念，「選擇所愛」才是最重要的。 , https://udn.com/news/story/6885/7114268?from=udn-ch1_breaknews-1-0-news
2023-04-22 08:39:04 , udn , 下周生肖運勢／羊職場桃花開、貴人招財 這生肖迎來新戀情 , https://udn.com/news/story/7268/7115573?from=udn-ch1_breaknews-1-0-news
2023-04-22 08:39:15 , udn , 命理專家曼樺老師分析，0423~0429各生肖運勢。上榜的會有誰呢？快點來看看。 , https://udn.com/news/story/7268/7115573?from=udn-ch1_breaknews-1-0-news
2023-04-22 08:40:06 , udn , 基隆市議會訪高雄 童子瑋：駁二、環港輕軌是學習經驗 , https://udn.com/news/story/7327/7115580?from=udn-ch1_breaknews-1-0-news
2023-04-22 08:40:16 , udn , 基隆市議會連續兩天到高雄市參訪，議長童子瑋指出，過去，基隆與高雄在智慧港灣、郵輪觀光等有許多交流機會，高雄的駁二、環港輕... , https://udn.com/news/story/7327/7115580?from=udn-ch1_breaknews-1-0-news
2023-04-22 08:41:57 , udn , 竹市警破獲假投資靈骨塔詐騙案 詐團不法獲利逾1.5億元 , https://udn.com/news/story/7320/7115583?from=udn-ch1_breaknews-1-0-news
