2023-02-07 07:03:18 , udn , NBA聯盟再傳震撼彈，經常胡言亂語的厄文（Kyrie Irving）公開要求「賣我」，隨即於2月5日送往達拉斯獨行俠隊。此舉，讓目前戰績31勝20敗的布魯克林籃網隊埋變數，會不會從衝擊季後賽的勁旅轉為 , /news/story/122629/6953820?from=udn-ch1_breaknews-1-0-news
2023-02-07 07:03:18 , udn , 準時、重榮譽、有熱忱 達比修有可望成日本首位投手隊長 , /news/story/122629/6954017?from=udn-ch1_breaknews-1-0-news
2023-02-07 07:03:18 , udn , 日本經典賽監督栗山英樹從去年中就四處奔走，終於一手打造出來他心目中最完美的國家隊，誓言奪回世界第一，日本隊將於17日開始到27日在宮崎展開集訓，之後便是練習熱身賽，這支被譽為歷年來最強的侍JAPAN代 , /news/story/122629/6954017?from=udn-ch1_breaknews-1-0-news
2023-02-07 07:03:18 , udn , 網購報關免再逐筆確認 海關鎖定3大電商 源頭一次完成實名認證 , /news/story/7238/6953009?from=udn-ch1_breaknews-1-0-news
2023-02-07 07:03:18 , udn , 海關力推實名認證「EZWAY易利委」App，上路至去年底已有513萬人註冊，但由於民眾實名認證才可通關，引起不少抱怨，為加速通關速度，海關積極與大型電商平台洽商，未來電商平台可直接將貨物資訊交給海關，民眾只要在源頭授權確認一次即可，將免去民眾每筆確認的困擾、通關效率可大大提升，目標今年與電商完成合作洽商。... , /news/story/7238/6953009?from=udn-ch1_breaknews-1-0-news
2023-02-07 07:06:19 , udn , 高速公路追回失智嬤 家屬同意留指紋防「迷途記」再演 , /news/story/7266/6954018?from=udn-ch1_breaknews-1-0-news
2023-02-07 07:06:19 , udn , 失智孤老者迷路、忘記自己姓名住址是常事，過去警方有「M-Police」人臉辨識系統，可協助迷途者找到自己的家，但「M-Police」因遭少數員警濫用後，已從2021年11月30日停用至今，各警局、派出所迄無取代的辨識工具可用。 , /news/story/7266/6954018?from=udn-ch1_breaknews-1-0-news
2023-02-07 07:12:19 , udn , 台積電ADR大跌3% 較台北交易溢價4.7% , /news/story/7251/6954576?from=udn-ch1_breaknews-1-0-news
2023-02-07 07:12:19 , udn , 台積電ADR周一大跌3%，收在91.83美元，較台北交易溢價4.7%。費城半導體指數同日跌1.7%。 , /news/story/7251/6954576?from=udn-ch1_breaknews-1-0-news
2023-02-07 07:12:19 , udn , 美股收低 就業意外強勁後投資人擔心鮑爾今天談話轉鷹 , /news/story/6811/6954573?from=udn-ch1_breaknews-1-0-news
2023-02-07 07:12:19 , udn , 美國股市周一收跌，投資人關注聯準會（Fed）主席鮑爾周二的談話可能打壓市場對他近期表態的看漲反應，同時對Fed會將繼續堅... , /news/story/6811/6954573?from=udn-ch1_breaknews-1-0-news
2023-02-07 07:18:20 , udn , 土耳其連兩強震死傷慘重 總統宣布進入7日哀悼期 , /news/story/123305/6954577?from=udn-ch1_breaknews-1-0-news
2023-02-07 07:18:20 , udn , 土耳其東南部今天發生兩場強震，總統艾爾段晚間宣布全國進入7日哀悼期。根據官方數據，地震已造成土耳其1762人死亡，約1.... , /news/story/123305/6954577?from=udn-ch1_breaknews-1-0-news
2023-02-07 07:18:20 , udn , 花蓮縣近海再傳地震規模3.9 宜花最大震度3級 , /news/story/7266/6954571?from=udn-ch1_breaknews-1-0-news
2023-02-07 07:18:20 , udn , 根據中央氣象局最新資訊，今天清晨6時12分發生芮氏規模3.9地震，地震深度21.7公里，震央位於花蓮縣政府北北東方34.... , /news/story/7266/6954571?from=udn-ch1_breaknews-1-0-news
2023-02-07 07:33:19 , udn , 軍艦領港人／全國軍僅11人 記者獨家跟訪艱鉅任務 連登艦都是挑戰  , /news/story/10930/6952873?from=udn-ch1_breaknews-1-0-news
2023-02-07 07:33:19 , udn , 船隻進出港口，在狹窄水域活動，不能碰撞其他船隻，需要經驗豐富的領港（引水人）協助。全台商港共有一百多位引水人，由於須具備資深船長資歷，月收入高達數十萬，在業界是榮譽與肯定的象徵。軍艦是否需要領港協助，他們的來源為何，待遇是否也與民間引水人一樣令人艷羨？

聯合報數位版獨家跟隨海軍領港搭乘小艇登艦，採訪全程任務，訪問資深退休領港，體會他們的工作內容與甘苦。 , /news/story/10930/6952873?from=udn-ch1_breaknews-1-0-news
2023-02-07 07:33:19 , udn , 拜登將發表國情咨文 近7成民眾對他引領未來沒信心 , /news/story/6813/6954578?from=udn-ch1_breaknews-1-0-news
